"red","green","blue","ir","ndvi","Cmmn_Nm","red_blue","red_green","blue_green"
4267,3761,2608,7286,0.261317406734182,"Bigleaf Maple",1.63611963190184,1.13453868651954,0.693432597713374
4543,3925,2905,5679,0.111132850714146,"Bigleaf Maple",1.56385542168675,1.15745222929936,0.740127388535032
3985,3443,2458,5267,0.138564634673584,"Bigleaf Maple",1.62123677786819,1.15742085390648,0.71391228579727
4592,3943,2970,4341,-0.0280980633605732,"Bigleaf Maple",1.54612794612795,1.16459548567081,0.753233578493533
3845,2727,1477,4426,0.0702454358602346,"Bigleaf Maple",2.60324983073798,1.40997433076641,0.541620828749542
4137,3596,2638,4918,0.0862506902263943,"Bigleaf Maple",1.56823351023503,1.15044493882091,0.733592880978865
4029,3396,2394,4485,0.0535588442565187,"Bigleaf Maple",1.68295739348371,1.18639575971731,0.704946996466431
4157,3374,2390,6134,0.192109610339131,"Bigleaf Maple",1.73933054393305,1.2320687611144,0.708358032009484
4300,3717,2724,5581,0.129642748709645,"Bigleaf Maple",1.57856093979442,1.15684691955878,0.732849071832123
3794,2611,1637,3227,-0.0807577268195414,"Bigleaf Maple",2.31765424557117,1.45308310991957,0.626962849482957
3867,3260,2278,3596,-0.0363124748760552,"Bigleaf Maple",1.69754170324846,1.1861963190184,0.698773006134969
3915,3222,2123,4308,0.0477927763589931,"Bigleaf Maple",1.84408855393311,1.21508379888268,0.658907510862818
4010,3324,2247,5070,0.116740088105727,"Bigleaf Maple",1.78460169114375,1.20637785800241,0.675992779783393
4175,3683,2599,6069,0.184888715345568,"Bigleaf Maple",1.60638707195075,1.13358674993212,0.705674721694271
4405,3866,2826,5392,0.100745126058998,"Bigleaf Maple",1.55874026893135,1.13942058975685,0.730988101396793
4261,3721,2610,8004,0.305177333876885,"Bigleaf Maple",1.63256704980843,1.14512227895727,0.701424348293469
4373,3596,2733,5578,0.121093357451512,"Bigleaf Maple",1.60007317965606,1.21607341490545,0.760011123470523
4827,4531,3800,5140,0.0314036319855523,"Bigleaf Maple",1.27026315789474,1.06532774222026,0.838666960935776
4912,4464,3333,6495,0.138774436749364,"Bigleaf Maple",1.47374737473747,1.10035842293907,0.746639784946237
4231,3557,2570,5158,0.0987325593779955,"Bigleaf Maple",1.64630350194553,1.18948552150689,0.72251897666573
5073,4575,3533,6378,0.113963845952319,"Bigleaf Maple",1.43589017831871,1.10885245901639,0.77224043715847
4132,3594,2565,5299,0.123740854628353,"Bigleaf Maple",1.61091617933723,1.149693934335,0.713689482470785
4141,3572,2512,5875,0.173123003194888,"Bigleaf Maple",1.6484872611465,1.15929451287794,0.703247480403135
4820,4035,2799,6133,0.119875833105085,"Bigleaf Maple",1.72204358699536,1.19454770755886,0.693680297397769
3831,3148,2098,4266,0.0537236013338273,"Bigleaf Maple",1.82602478551001,1.21696315120712,0.666454891994917
4335,3753,2956,5283,0.098565190268247,"Bigleaf Maple",1.46650879566982,1.1550759392486,0.78763655742073
4452,3981,3241,4728,0.0300653594771242,"Bigleaf Maple",1.37365010799136,1.11831198191409,0.814117056016076
4390,3779,2731,4943,0.0592521161470052,"Bigleaf Maple",1.60746979128524,1.16168298491664,0.722677957131516
4739,4253,3412,5330,0.0586950044691628,"Bigleaf Maple",1.38892145369285,1.11427227839172,0.802257230190454
4192,3771,2794,6100,0.185386708122814,"Bigleaf Maple",1.50035790980673,1.11164147440997,0.740917528507027
3749,2701,1640,4310,0.0696116143442114,"Bigleaf Maple",2.2859756097561,1.38800444279896,0.607182524990744
4050,3613,2826,4751,0.0796500397682082,"Bigleaf Maple",1.43312101910828,1.120952117354,0.782175477442569
4364,3843,2798,7009,0.232568363668337,"Bigleaf Maple",1.55968548963545,1.13557116835805,0.72807702315899
3949,3445,2368,6446,0.24021164021164,"Bigleaf Maple",1.66765202702703,1.14629898403483,0.687373004354136
5103,4512,3565,4381,-0.0761282159426402,"Bigleaf Maple",1.43141654978962,1.13098404255319,0.79011524822695
3762,2669,1509,3360,-0.0564448188711036,"Bigleaf Maple",2.49304174950298,1.4095166729112,0.565380292244286
3990,3280,2238,4909,0.103270030340488,"Bigleaf Maple",1.7828418230563,1.21646341463415,0.682317073170732
3870,3146,2040,4061,0.0240827134031018,"Bigleaf Maple",1.89705882352941,1.23013350286078,0.648442466624285
3997,2935,1881,4942,0.105716523101018,"Bigleaf Maple",2.12493354598618,1.3618398637138,0.640885860306644
4276,3449,2416,4407,0.0150869515144535,"Bigleaf Maple",1.76986754966887,1.23977964627428,0.700492896491737
4341,3602,2597,6175,0.174400912894637,"Bigleaf Maple",1.67154408933385,1.20516379789006,0.720988339811216
3927,3485,2488,5043,0.124414715719064,"Bigleaf Maple",1.57837620578778,1.12682926829268,0.713916786226686
3813,3110,2179,5142,0.148408710217755,"Bigleaf Maple",1.74988526847178,1.22604501607717,0.70064308681672
3760,2662,1610,3730,-0.00400534045393859,"Bigleaf Maple",2.33540372670807,1.41247182569497,0.60480841472577
4441,3917,2772,5991,0.148581288343558,"Bigleaf Maple",1.60209235209235,1.13377584886393,0.707684452387031
3876,3306,2226,4876,0.114259597806216,"Bigleaf Maple",1.74123989218329,1.17241379310345,0.673321234119782
3941,3462,2340,5543,0.168916069169127,"Bigleaf Maple",1.68418803418803,1.13835932986713,0.675909878682842
3984,3292,2336,4648,0.0769230769230769,"Bigleaf Maple",1.70547945205479,1.21020656136087,0.709599027946537
4264,3727,2570,5281,0.10654793085385,"Bigleaf Maple",1.6591439688716,1.14408371344245,0.689562650925677
5831,5603,4077,6176,0.0287332389439494,"Bigleaf Maple",1.43021829776797,1.04069248616812,0.727645903980011
3912,3257,2246,4498,0.069678953626635,"Bigleaf Maple",1.74176313446126,1.20110531163648,0.689591648756524
4130,3308,2274,4879,0.0831390831390831,"Bigleaf Maple",1.81618293755497,1.24848851269649,0.687424425634825
4231,3687,2637,7772,0.295009580938099,"Bigleaf Maple",1.60447478194918,1.1475454298888,0.715215622457282
5456,4925,4488,4926,-0.0510498940473897,"Bigleaf Maple",1.2156862745098,1.10781725888325,0.911269035532995
4401,3858,2756,5602,0.120063980805758,"Bigleaf Maple",1.59687953555878,1.1407465007776,0.71435977190254
3892,3352,2370,5319,0.154923461079145,"Bigleaf Maple",1.642194092827,1.16109785202864,0.707040572792363
4268,3668,2604,5234,0.101662807829931,"Bigleaf Maple",1.63901689708141,1.16357688113413,0.709923664122137
4197,3665,2648,6033,0.179472140762463,"Bigleaf Maple",1.58496978851964,1.14515688949523,0.722510231923602
3710,2342,1578,3436,-0.0383431290232298,"Bigleaf Maple",2.3510773130545,1.58411614005124,0.673783091374893
4428,3900,2759,8032,0.289245585874799,"Bigleaf Maple",1.6049293222182,1.13538461538462,0.707435897435897
4448,4196,3306,6249,0.168364962138917,"Bigleaf Maple",1.34543254688445,1.06005719733079,0.78789323164919
4302,3719,2744,5814,0.149466192170818,"Bigleaf Maple",1.56778425655977,1.15676257058349,0.737832750739446
4022,3493,2463,6577,0.241060477403529,"Bigleaf Maple",1.63296792529436,1.15144574864014,0.705124534783853
3988,3332,2269,5339,0.144848289911011,"Bigleaf Maple",1.7576024680476,1.1968787515006,0.680972388955582
3768,2887,1715,4414,0.0789538010266439,"Bigleaf Maple",2.19708454810496,1.3051610668514,0.594042258399723
4528,4049,3253,4554,0.00286280554943845,"Bigleaf Maple",1.39194589609591,1.11830081501605,0.803408248950358
4176,3659,2564,6041,0.182538905745326,"Bigleaf Maple",1.62870514820593,1.14129543591145,0.700737906531839
3950,3560,2391,5377,0.152996676316072,"Bigleaf Maple",1.65202843998327,1.10955056179775,0.671629213483146
3927,3375,2548,5728,0.186535473847747,"Bigleaf Maple",1.54120879120879,1.16355555555556,0.754962962962963
3755,2603,1650,3035,-0.106038291605302,"Bigleaf Maple",2.27575757575758,1.44256626968882,0.63388398002305
4387,3737,2653,7273,0.247512864493997,"Bigleaf Maple",1.65359969845458,1.17393631255017,0.70992774953171
4098,2699,1747,4135,0.00449410907324183,"Bigleaf Maple",2.3457355466514,1.51834012597258,0.647276769173768
3716,3065,1984,4257,0.0678540072745516,"Bigleaf Maple",1.87298387096774,1.21239804241436,0.647308319738989
4066,3347,2314,3854,-0.0267676767676768,"Bigleaf Maple",1.7571305099395,1.21481924111144,0.691365401852405
4222,3499,2415,5644,0.144131360227042,"Bigleaf Maple",1.74824016563147,1.20663046584738,0.690197199199771
3979,3363,2363,4803,0.0938282851286723,"Bigleaf Maple",1.68387642826915,1.18316978887898,0.702646446625037
4423,3978,2837,7809,0.276814911706998,"Bigleaf Maple",1.55904124074727,1.11186525892408,0.713172448466566
4044,3253,2164,5125,0.117897262514996,"Bigleaf Maple",1.86876155268022,1.24316015985244,0.665232093452198
4080,3691,2539,6122,0.200156831993727,"Bigleaf Maple",1.60693186293816,1.10539149282037,0.687889460850718
4783,4399,3313,7922,0.24706808343172,"Bigleaf Maple",1.44370661032297,1.08729256649238,0.753125710388725
3854,2651,1487,4559,0.0837988826815642,"Bigleaf Maple",2.59179556153329,1.45379102225575,0.560920407393436
4007,3433,2389,5937,0.194086886564763,"Bigleaf Maple",1.67727082461281,1.167200699097,0.695892805126711
3946,3361,2364,4106,0.0198708395429707,"Bigleaf Maple",1.66920473773266,1.17405534067242,0.703362094614698
3856,3204,2258,4133,0.034672674928026,"Bigleaf Maple",1.70770593445527,1.20349563046192,0.704744069912609
4102,3637,2605,5931,0.182298415229742,"Bigleaf Maple",1.5746641074856,1.12785262579049,0.716249656310146
4294,3831,2935,7112,0.247062949324917,"Bigleaf Maple",1.46303236797274,1.12085617332289,0.766118506917254
4111,3181,2249,3921,-0.0236553784860558,"Bigleaf Maple",1.82792352156514,1.29236089280101,0.707010374096196
4299,3693,2597,4884,0.0637046716759229,"Bigleaf Maple",1.6553715825953,1.16409423233144,0.703222312483076
3920,2847,1730,5095,0.130338325013866,"Bigleaf Maple",2.26589595375723,1.37688795223042,0.607657182999649
3837,3135,2018,3899,0.00801447776628749,"Bigleaf Maple",1.9013875123885,1.22392344497608,0.643700159489633
3826,2842,1858,4110,0.0357862903225806,"Bigleaf Maple",2.05920344456405,1.34623504574243,0.653764954257565
4801,4080,3075,5165,0.0365241822195465,"Bigleaf Maple",1.56130081300813,1.17671568627451,0.753676470588235
4258,3727,2475,8175,0.315048660822006,"Bigleaf Maple",1.72040404040404,1.14247383954924,0.664072980949826
4122,3458,2344,5142,0.110103626943005,"Bigleaf Maple",1.75853242320819,1.19201850780798,0.677848467322152
4346,3793,2706,4646,0.0333629893238434,"Bigleaf Maple",1.60606060606061,1.14579488531505,0.713419456894279
4100,3503,2544,4672,0.0652074783401733,"Bigleaf Maple",1.61163522012579,1.17042534970026,0.726234656009135
3766,3171,2278,3056,-0.104075051304603,"Bigleaf Maple",1.65320456540825,1.18763796909492,0.71838536739199
4111,3652,2688,4074,-0.00452046426389737,"Bigleaf Maple",1.52938988095238,1.12568455640745,0.736035049288061
3892,3277,2207,5302,0.153360887535349,"Bigleaf Maple",1.76347983688265,1.18767165090021,0.673481843149222
5278,4718,3872,4491,-0.0805609581328693,"Bigleaf Maple",1.36311983471074,1.1186943620178,0.82068673166596
3886,3237,2217,5494,0.171428571428571,"Bigleaf Maple",1.75281912494362,1.20049428483163,0.684893419833179
3760,2695,1574,4759,0.117267284892593,"Bigleaf Maple",2.38881829733164,1.39517625231911,0.58404452690167
3888,3189,2142,5790,0.196528208307502,"Bigleaf Maple",1.81512605042017,1.21919096895579,0.671683913452493
3913,3251,2169,5077,0.129477196885428,"Bigleaf Maple",1.8040571692024,1.20362965241464,0.667179329437096
3788,2791,1697,5924,0.21993410214168,"Bigleaf Maple",2.23217442545669,1.35721963453959,0.608025797205303
3789,2523,1777,4216,0.0533416614615865,"Bigleaf Maple",2.13224535734384,1.50178359096314,0.70432025366627
4265,3750,2707,5787,0.15141265419817,"Bigleaf Maple",1.57554488363502,1.13733333333333,0.721866666666667
4610,4036,3144,4529,-0.00886311412627202,"Bigleaf Maple",1.46628498727735,1.14222001982161,0.778989098116947
3954,3400,2481,4384,0.0515711201727033,"Bigleaf Maple",1.59371221281741,1.16294117647059,0.729705882352941
4070,3410,2321,6282,0.213678516228748,"Bigleaf Maple",1.75355450236967,1.19354838709677,0.680645161290323
3861,3182,2227,4439,0.0696385542168675,"Bigleaf Maple",1.73372249663224,1.21338780641106,0.699874292897549
