"red","green","blue","ir","ndvi","Cmmn_Nm","red_blue","red_green","blue_green"
4393,3949,2836,6089,0.161801182980347,"Broadleaf",1.54901269393512,1.11243352747531,0.71815649531527
4509,3991,2800,7337,0.238730373121729,"Broadleaf",1.61035714285714,1.12979203207216,0.701578551741418
4577,4037,3112,5862,0.123096082000192,"Broadleaf",1.47075835475578,1.1337626950706,0.770869457517959
3975,3418,2433,6365,0.231141199226306,"Broadleaf",1.63378545006165,1.16296079578701,0.711819777647747
4089,3589,2747,5371,0.135517970401691,"Broadleaf",1.48853294503094,1.13931457230426,0.765394260239621
4541,3906,2921,6614,0.185835948005379,"Broadleaf",1.55460458747004,1.16257040450589,0.747823860727087
3726,3077,1941,4972,0.143251322143021,"Broadleaf",1.91962905718702,1.21091972700682,0.630809229769256
4241,3589,2693,4690,0.0502743253834957,"Broadleaf",1.57482361678426,1.18166620228476,0.750348286430761
4341,3683,2528,8125,0.303545644152094,"Broadleaf",1.71716772151899,1.17865870214499,0.686396959000815
4350,3782,2658,7766,0.281941234730934,"Broadleaf",1.63656884875847,1.15018508725542,0.702802749867795
3785,3184,2150,5628,0.195793052161904,"Broadleaf",1.76046511627907,1.18875628140704,0.675251256281407
4475,3965,3022,5911,0.138263046408627,"Broadleaf",1.48080741230973,1.12862547288777,0.762168978562421
4235,3771,2878,5494,0.129406927741803,"Broadleaf",1.47150799166088,1.12304428533545,0.763192787059136
4313,3968,2993,6653,0.213386832026263,"Broadleaf",1.44102906782492,1.08694556451613,0.754284274193548
3754,2643,1517,3515,-0.0328793506672169,"Broadleaf",2.47462096242584,1.420355656451,0.573968974650019
3763,2699,1691,3580,-0.0249216941304644,"Broadleaf",2.22531046717918,1.39422008151167,0.626528343831048
4278,3845,2890,6409,0.199401141573875,"Broadleaf",1.480276816609,1.11261378413524,0.751625487646294
4284,3679,2564,6824,0.22866402592726,"Broadleaf",1.67082683307332,1.16444686055993,0.69692851318293
4519,4122,2955,8212,0.290079333909355,"Broadleaf",1.52927241962775,1.09631246967492,0.71688500727802
4430,3905,3061,5207,0.080626751063609,"Broadleaf",1.44723946422738,1.13444302176697,0.783866837387964
3891,3014,1570,4835,0.108182443272977,"Broadleaf",2.47834394904459,1.29097544790975,0.520902455209025
4684,4349,3258,7437,0.227126474713307,"Broadleaf",1.43769183548189,1.07702920211543,0.749137732812141
4709,4307,3461,7792,0.24662027037837,"Broadleaf",1.36058942502167,1.09333642906896,0.803575574645925
4545,4057,3167,5972,0.135685081296948,"Broadleaf",1.43511209346385,1.12028592556076,0.780626078383042
3894,2909,1557,5767,0.193872269951351,"Broadleaf",2.5009633911368,1.33860433138536,0.535235476108628
4750,4414,3366,7639,0.233190733715393,"Broadleaf",1.41117052881759,1.07612143180788,0.762573629361124
4433,3994,3090,8835,0.331775700934579,"Broadleaf",1.43462783171521,1.10991487230846,0.773660490736104
4495,3832,2842,6068,0.148916027643662,"Broadleaf",1.58163265306122,1.17301670146138,0.741649269311065
4403,3992,3098,6252,0.173533552322853,"Broadleaf",1.42123950936088,1.10295591182365,0.776052104208417
4289,3873,2691,8079,0.30643596377749,"Broadleaf",1.59383128948346,1.10741027627162,0.694810224632068
4324,3988,2866,9090,0.355300432384076,"Broadleaf",1.50872295882763,1.08425275827482,0.718655967903711
3880,3333,2195,5929,0.208889795086145,"Broadleaf",1.76765375854214,1.16411641164116,0.658565856585659
3913,3292,2291,5301,0.150640329932711,"Broadleaf",1.70798777826277,1.18863912515188,0.695929526123937
4609,4079,3202,9156,0.330330548492554,"Broadleaf",1.43941286695815,1.12993380730571,0.784996322628095
4183,3802,3029,6235,0.196966788251104,"Broadleaf",1.38098382304391,1.10021041557075,0.796685954760652
4200,3806,2793,7621,0.289400219947551,"Broadleaf",1.50375939849624,1.10352075669995,0.733841303205465
4296,3824,2726,7007,0.239847828010263,"Broadleaf",1.57593543653705,1.1234309623431,0.712866108786611
4466,3795,2698,6839,0.209907120743034,"Broadleaf",1.65530022238695,1.1768115942029,0.710935441370224
3773,3066,1971,4794,0.119178242091747,"Broadleaf",1.9142567224759,1.23059360730594,0.642857142857143
3936,3434,2420,5099,0.128721638074156,"Broadleaf",1.62644628099174,1.14618520675597,0.704717530576587
3857,2883,1623,5068,0.135686274509804,"Broadleaf",2.37646333949476,1.33784252514742,0.562955254942768
4417,3995,2909,9202,0.351347382333505,"Broadleaf",1.51839119972499,1.10563204005006,0.728160200250313
4072,3571,2630,6114,0.20047123502847,"Broadleaf",1.54828897338403,1.14029683562027,0.736488378605433
4331,3788,2696,8451,0.322328274135503,"Broadleaf",1.60645400593472,1.14334741288279,0.711721224920803
4163,3719,2670,7690,0.297561798700751,"Broadleaf",1.55917602996255,1.11938693197096,0.717934928744286
4393,3547,3143,4495,0.0114761476147615,"Broadleaf",1.39770919503659,1.2385114180998,0.886100930363688
4330,3797,2749,6163,0.17468788716287,"Broadleaf",1.57511822480902,1.14037397945747,0.723992625757177
4036,3373,2381,5702,0.17108235777367,"Broadleaf",1.69508609827803,1.19656092499259,0.705899792469612
4061,3382,2402,5907,0.185192616372392,"Broadleaf",1.69067443796836,1.20076877587226,0.71023063276168
4295,3926,2744,7055,0.243171806167401,"Broadleaf",1.5652332361516,1.09398879266429,0.698930208863984
4428,3927,2857,8279,0.303061304792634,"Broadleaf",1.54987749387469,1.12757830404889,0.727527374586198
3913,2964,1942,4264,0.0429252782193959,"Broadleaf",2.01493305870237,1.32017543859649,0.655195681511471
4464,3942,2882,8146,0.291990483743061,"Broadleaf",1.54892435808466,1.1324200913242,0.731100963977676
4580,4156,3183,6612,0.181558255897069,"Broadleaf",1.43889412503927,1.10202117420597,0.765880654475457
4125,3697,2706,5771,0.166329830234438,"Broadleaf",1.52439024390244,1.1157695428726,0.731944820124425
4440,3967,2997,6839,0.212696161007182,"Broadleaf",1.48148148148148,1.1192336778422,0.755482732543484
3992,3547,2458,7340,0.295446523120367,"Broadleaf",1.62408462164361,1.12545813363406,0.692979983084297
4073,3418,2401,5611,0.158818669971086,"Broadleaf",1.69637650978759,1.19163253364541,0.70245757753072
3786,3150,2028,5168,0.1543444270717,"Broadleaf",1.86686390532544,1.20190476190476,0.643809523809524
4875,4228,3212,6958,0.176033127693738,"Broadleaf",1.51774595267746,1.15302743614002,0.759697256385998
4212,3735,2583,8508,0.337735849056604,"Broadleaf",1.63066202090592,1.12771084337349,0.691566265060241
